Node,Hub Score
u198,0.15254670532641101
u193,0.07502268586748351
u108,0.044417398252285925
u232,0.03578755498033626
u845,0.02745923629724701
u25,0.02637045777365708
u203,0.022051504044297093
u1405,0.019160827581917644
u196,0.01788049847832149
u680,0.01574976093816035
u197,0.012303712849460984
u19,0.011399596371748477
u79,0.010504311880277109
u408,0.010263504434270942
u342,0.009927103082428054
u18,0.009627317646964513
u489,0.009560469658042614
u823,0.009483156929280485
u83,0.009299196268084526
u1605,0.008042249348155693
